time/time_elapsed,time/total_timesteps,experiment_details/batch_size,experiment_details/timestamp,time/fps,time/iterations,experiment_details/n_steps,experiment_details/learning_rate,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
20689,91136,,,4,89,,,0.0075688474,1.1415493041955216e-07,0.15283203125,880,-1.0792865741997957,0.0003,-0.00678402918856591,-0.0020534389186650515,0.2,-0.017555952072143555,0.003237777777777778,2498.722222222222,,
20793,92160,,,4,90,,,0.0052649663,6.093783641622497e-07,0.04384765625,890,-1.02712441124022,0.0003,-0.0025050847558304667,-0.005044444464147091,0.2,-0.04840707778930664,0.003237777777777778,2498.722222222222,,
20898,93184,,,4,91,,,0.005904621,9.593189113040953e-06,0.09365234375,900,-1.0917881280183792,0.0003,-0.0025973392883315684,-0.014668852090835571,0.2,-0.23311138153076172,0.0031502702702702703,2498.7567567567567,,
21002,94208,,,4,92,,,0.005405519,3.6340226443123957e-06,0.057421875,910,-1.0332795917987823,0.0003,-0.00408495097362902,0.012685662135481834,0.2,0.29774564504623413,0.0031502702702702703,2498.7567567567567,,
21107,95232,,,4,93,,,0.007871912,4.575108729226729e-08,0.04833984375,920,-0.9411412041634322,0.0003,-0.002484553650720045,-0.017470188438892365,0.2,-0.5815119743347168,0.0030673684210526316,2498.7894736842104,,
21211,96256,,,4,94,,,0.0033312328,6.084747271248303e-08,0.03427734375,930,-0.9848704311996699,0.0003,-0.00245265566627495,0.01263701356947422,0.2,-0.07469546794891357,0.0030673684210526316,2498.7894736842104,,
21316,97280,,,4,95,,,0.0041940794,0.0001300906440721644,0.06083984375,940,-0.9767909701913595,0.0003,-0.005425694893347099,0.004247752483934164,0.2,-0.16404902935028076,0.0030673684210526316,2498.7894736842104,,
21420,98304,,,4,96,,,0.004856196,2.098214683075861e-09,0.0330078125,950,-0.954200878366828,0.0003,-0.0024737349362112583,-0.003487035632133484,0.2,-0.09256315231323242,0.0029887179487179485,2498.8205128205127,,
21525,99328,,,4,97,,,0.0040923483,1.347572467849667e-09,0.02001953125,960,-0.9459432572126388,0.0003,-0.00161560222186381,-0.001489324145950377,0.2,0.2109023928642273,0.0029887179487179485,2498.8205128205127,,
,100000,,,,,,,0.0056839366,1.6747700632563367e-09,0.05966796875,970,-0.8331908382475376,0.0003,-0.00468491647625342,0.0027623968198895454,0.2,0.05140721797943115,,,0.0,2500.0
22886,100352,,,4,98,,,,,,,,,,,,,0.002914,2498.85,,
